# Exzess-Waermekapazitaet Cp von Wasser/Ethanol-Mischungen bei 15 Celsius
# G.C. Benson, P.J. D'Arcy, J.Chem.Eng.Data 27 (1982) 439
# zusaetzliche Groessen berechnet: E. Meister, 2013
# 1. Spalte: Molenbruch Wasser
# 2. Spalte: Molenbruch Ethanol
# 3. Spalte: Massenbruch Wasser
# 4. Spalte: Exzess-Waermekapazitaet Cp_Exzess / J/(K*mol)
# 5. Spalte: molare Waermekapazitaet Cp_molar / J/(K*mol)
# 6. Spalte: spezifische Waermekapazitaet Cp_spez / J/(K*g)
0.000 1.000 0.00000000  0.00 108.07000 2.345778
0.050 0.950 0.02017127  1.23 107.66665 2.410402
0.095 0.905 0.03943993  2.33 107.29663 2.471974
0.157 0.843 0.06790020  3.69 106.63128 2.559182
0.188 0.812 0.08304025  4.30 106.22860 2.603859
0.274 0.726 0.12863280  5.74 104.85924 2.731826
0.286 0.714 0.13545418  5.93 104.65724 2.750685
0.342 0.658 0.16895186  6.73 103.62789 2.840918
0.405 0.595 0.21026081  7.56 102.39987 2.950176
0.473 0.527 0.25984297  8.47 101.08851 3.081746
0.492 0.508 0.27474449  8.66 100.65784 3.119297
0.564 0.436 0.33597842  9.62  99.26581 3.281536
0.578 0.422 0.34884701  9.79  98.97847 3.315073
0.615 0.385 0.38454505 10.42  98.39979 3.414377
0.659 0.341 0.43049333 11.09  97.63245 3.539325
0.701 0.299 0.47835967 11.75  96.92043 3.670262
0.722 0.278 0.50393099 11.96  96.44443 3.735564
0.724 0.276 0.50642735 12.06  96.47909 3.745045
0.730 0.270 0.51398207 12.14  96.36309 3.765139
0.751 0.249 0.54122446 12.49  96.02708 3.840400
0.753 0.247 0.54388607 12.38  95.85175 3.842008
0.755 0.245 0.54655967 12.47  95.87642 3.851657
0.757 0.243 0.54924535 12.45  95.79108 3.856922
0.769 0.231 0.56561774 12.80  95.74908 3.908197
0.772 0.228 0.56978137 12.87  95.72108 3.920520
0.798 0.202 0.60710543 13.31  95.31173 4.023952
0.798 0.202 0.60710543 13.13  95.13173 4.016353
0.824 0.176 0.64680095 13.81  94.96239 4.136569
0.831 0.169 0.65792284 13.68  94.60372 4.156496
0.842 0.158 0.67579314 13.91  94.47439 4.207857
0.850 0.150 0.68910134 13.59  93.89305 4.224184
0.859 0.141 0.70439794 13.70  93.70905 4.264338
0.872 0.128 0.72712398 13.40  92.98438 4.302761
0.880 0.120 0.74149444 13.14  92.46304 4.323531
0.890 0.110 0.75988723 12.65  91.64637 4.342298
0.900 0.100 0.77877551 11.95  90.61970 4.351486
0.907 0.093 0.79230294 11.56  90.00103 4.362914
0.908 0.092 0.79425648 11.45  89.85836 4.361929
0.931 0.069 0.84070367  9.35  87.00702 4.360063
0.935 0.065 0.84908974  8.94  86.46635 4.357469
0.946 0.054 0.87264816  7.73  84.89702 4.345960
0.947 0.053 0.87482679  7.56  84.69435 4.341819
0.948 0.052 0.87701169  7.44  84.54168 4.340234
0.951 0.049 0.88360433  7.01  84.01368 4.331841
0.959 0.041 0.90146765  6.09  82.83235 4.320925
0.970 0.030 0.92672375  4.53  80.91301 4.289850
0.975 0.025 0.93847900  3.87  80.08968 4.278009
0.979 0.021 0.94801078  3.24  79.32901 4.262926
0.980 0.020 0.95041171  3.07  79.12634 4.258454
0.985 0.015 0.96252593  2.38  78.27300 4.244567
0.990 0.010 0.97482582  1.62  77.34967 4.226642
1.000 0.000 1.00000000  0.00  75.40300 4.184406
